,DYNAMIC,STATIC,SARSA,LINRS,NRS
0,213,375,879,796,709
1,887,999,999,375,999
2,999,999,451,999,751
3,466,752,581,532,517
4,999,727,338,999,422
5,999,560,796,488,999
6,437,999,182,999,999
7,915,466,542,245,305
8,999,938,999,801,912
9,999,214,999,999,999
10,999,427,999,245,999
11,422,419,375,488,581
12,577,291,173,488,999
13,999,804,999,451,367
14,999,402,982,193,399
15,375,281,488,193,304
16,213,321,999,307,577
17,614,999,188,581,853
18,317,999,511,633,347
19,879,915,999,581,999
20,302,999,999,639,999
21,887,999,999,409,292
22,999,577,759,999,999
23,999,466,999,792,999
24,999,402,636,869,999
25,912,586,999,999,999
26,887,383,317,188,375
27,956,999,324,999,347
28,433,582,302,999,999
29,999,999,542,324,337
30,302,383,399,999,800
31,759,999,999,759,751
32,302,999,999,982,302
33,999,532,488,399,302
34,310,924,912,999,999
35,999,335,347,999,577
36,451,887,421,915,999
37,433,571,751,999,517
38,999,999,912,820,759
39,999,797,213,249,310
40,519,305,444,999,310
41,304,999,915,999,173
42,999,999,999,693,193
43,999,560,956,577,999
44,956,317,759,982,999
45,627,963,317,801,999
46,999,519,999,174,999
47,519,999,820,879,999
48,511,354,999,679,532
49,999,999,511,999,999
50,999,887,999,999,999
51,999,525,801,437,999
52,999,816,999,999,193
53,999,341,633,999,304
54,519,808,853,173,999
55,999,791,912,391,539
56,915,555,999,999,820
57,511,999,310,789,304
58,451,193,999,999,999
59,999,999,999,831,999
60,581,999,999,466,633
61,999,999,337,999,375
62,999,999,999,999,999
63,999,437,451,281,639
64,999,357,451,999,999
65,879,648,999,999,999
66,511,427,999,999,869
67,999,305,999,999,999
68,451,999,853,854,590
69,317,814,999,999,999
70,310,999,887,999,375
71,619,816,999,999,594
72,999,999,188,999,999
73,581,999,375,614,627
74,796,796,999,999,375
75,999,969,999,999,999
76,614,188,999,860,999
77,982,999,999,399,310
78,532,999,173,999,999
79,324,999,999,999,188
80,517,999,173,796,999
81,999,261,999,999,174
82,437,897,391,213,399
83,999,721,999,240,488
84,281,999,511,182,284
85,614,408,853,433,999
86,302,999,999,999,999
87,999,749,182,999,999
88,796,999,999,853,999
89,999,409,302,421,999
90,999,999,391,304,324
91,999,999,999,324,577
92,800,924,581,431,347
93,879,999,639,999,999
94,956,915,751,999,173
95,532,908,451,820,820
96,391,793,999,796,999
97,999,793,982,999,173
98,639,336,879,304,801
99,213,999,347,577,193
