,LEARNED,STATIC,AC,LINRS,NRS
917,4418.0,7622.0,7906.0,3099.0,3356.0
405,1093.0,5855.0,2622.0,7246.0,10000.0
896,5441.0,7714.0,1451.0,3587.0,5893.0
173,1414.0,2276.0,1299.0,4636.0,2080.0
627,2330.0,2278.0,3712.0,9768.0,3834.0
454,8639.0,1385.0,10000.0,7122.0,1593.0
780,1936.0,5971.0,1307.0,4840.0,2378.0
490,10000.0,4281.0,10000.0,2338.0,8021.0
375,9654.0,4913.0,3006.0,5996.0,5684.0
466,2622.0,1295.0,2330.0,8833.0,10000.0
416,1936.0,2938.0,3548.0,2111.0,10000.0
72,10000.0,3396.0,5218.0,1110.0,10000.0
630,980.0,7022.0,1385.0,9810.0,2086.0
796,873.0,4021.0,5218.0,847.0,1243.0
61,4804.0,1590.0,564.0,845.0,7586.0
359,10000.0,564.0,5957.0,8796.0,1243.0
621,3495.0,10000.0,9328.0,7305.0,614.0
153,1299.0,819.0,2027.0,9728.0,5905.0
908,2330.0,785.0,5588.0,3238.0,1140.0
255,4411.0,1132.0,4031.0,782.0,3918.0
43,873.0,3833.0,523.0,1002.0,1481.0
880,259.0,1046.0,523.0,6665.0,434.0
68,1593.0,1712.0,10000.0,10000.0,8071.0
377,7150.0,2038.0,259.0,6951.0,2950.0
281,341.0,2069.0,5441.0,5042.0,925.0
661,1972.0,2569.0,6503.0,4002.0,1139.0
179,4509.0,614.0,8414.0,1769.0,10000.0
314,1550.0,595.0,5441.0,420.0,2320.0
824,1385.0,6622.0,5218.0,5285.0,1705.0
438,5341.0,2744.0,3712.0,564.0,1234.0
407,6539.0,1908.0,523.0,6779.0,6445.0
784,10000.0,634.0,2364.0,3349.0,4696.0
806,4823.0,3654.0,847.0,2542.0,7547.0
87,3548.0,10000.0,7033.0,1954.0,4340.0
920,614.0,1936.0,1414.0,8434.0,7441.0
856,2027.0,968.0,9654.0,614.0,1853.0
364,7150.0,9157.0,1243.0,2925.0,9346.0
741,5090.0,871.0,2498.0,10000.0,6968.0
979,1385.0,1481.0,5026.0,6628.0,10000.0
185,434.0,925.0,4160.0,3317.0,9964.0
784,10000.0,634.0,2364.0,3349.0,4696.0
171,2364.0,1549.0,8458.0,2027.0,3704.0
291,523.0,8258.0,4091.0,9100.0,7218.0
894,3712.0,10000.0,6503.0,3310.0,9262.0
876,614.0,10000.0,5090.0,1705.0,1002.0
2,5163.0,2138.0,10000.0,3148.0,10000.0
190,2188.0,7727.0,1414.0,10000.0,564.0
73,873.0,8994.0,1451.0,6521.0,8200.0
176,3327.0,1280.0,1154.0,523.0,1222.0
677,1481.0,259.0,3683.0,4556.0,3728.0
281,341.0,2069.0,5441.0,5042.0,925.0
325,6539.0,7735.0,10000.0,6481.0,5568.0
646,3397.0,2625.0,3432.0,1481.0,847.0
442,6539.0,5703.0,3683.0,4543.0,5591.0
585,6609.0,3846.0,5588.0,7930.0,10000.0
15,5089.0,1703.0,873.0,1002.0,7461.0
423,1002.0,479.0,1587.0,4585.0,866.0
218,4411.0,3695.0,2364.0,3876.0,10000.0
667,10000.0,5772.0,7150.0,2491.0,341.0
711,1154.0,5915.0,3548.0,1743.0,5631.0
401,614.0,2519.0,1414.0,2096.0,5112.0
735,4490.0,1072.0,10000.0,4114.0,847.0
63,1385.0,10000.0,7906.0,420.0,7385.0
962,1307.0,8208.0,1154.0,3891.0,7696.0
511,1451.0,1481.0,420.0,4503.0,10000.0
753,1243.0,2480.0,3138.0,3894.0,341.0
422,1307.0,2796.0,4509.0,1199.0,3379.0
772,3495.0,10000.0,1002.0,1143.0,2810.0
677,1481.0,259.0,3683.0,4556.0,3728.0
851,1593.0,915.0,2720.0,3006.0,3169.0
10,1972.0,420.0,3397.0,5814.0,5709.0
856,2027.0,968.0,9654.0,614.0,1853.0
491,4418.0,1464.0,1154.0,5026.0,564.0
272,9318.0,3079.0,7906.0,9099.0,6149.0
202,8458.0,3255.0,9318.0,9443.0,4017.0
480,1332.0,1414.0,6609.0,3868.0,2915.0
667,10000.0,5772.0,7150.0,2491.0,341.0
925,10000.0,564.0,1110.0,2915.0,3666.0
868,3138.0,1231.0,4411.0,4214.0,2477.0
68,1593.0,1712.0,10000.0,10000.0,8071.0
391,3397.0,564.0,6609.0,1385.0,10000.0
431,6539.0,3458.0,2916.0,8159.0,3244.0
117,4418.0,9880.0,8458.0,2886.0,2742.0
129,341.0,2768.0,4509.0,1481.0,7765.0
404,5957.0,3861.0,7150.0,2523.0,8496.0
340,5089.0,6264.0,3397.0,2739.0,10000.0
102,1299.0,5123.0,4411.0,1139.0,1313.0
173,1414.0,2276.0,1299.0,4636.0,2080.0
15,5089.0,1703.0,873.0,1002.0,7461.0
162,1451.0,6813.0,341.0,1466.0,1414.0
21,1481.0,4474.0,3138.0,1243.0,2615.0
297,1972.0,10000.0,3603.0,847.0,965.0
768,4418.0,4020.0,1110.0,3882.0,10000.0
732,8797.0,2999.0,3479.0,341.0,3376.0
829,3913.0,564.0,4418.0,1944.0,1786.0
157,1550.0,2381.0,1307.0,2138.0,5044.0
128,9654.0,3083.0,1593.0,3310.0,3957.0
591,847.0,5800.0,8458.0,1451.0,1204.0
594,10000.0,10000.0,1093.0,1173.0,4479.0
853,3327.0,6562.0,4613.0,873.0,420.0
