,DYNAMIC-HUMAN,DYNAMIC-RANDOM,STATIC-HUMAN,STATIC-RANDOM,AC
917,28,43,111.0,18.0,168.0
405,24,41,27.0,19.0,31.0
896,48,29,46.0,92.0,228.0
173,22,19,84.0,20.0,22.0
627,250,127,18.0,48.0,99.0
454,22,21,143.0,38.0,42.0
780,63,21,37.0,34.0,2.0
490,43,39,42.0,59.0,93.0
375,37,17,35.0,64.0,250.0
466,41,33,26.0,47.0,85.0
416,17,80,36.0,58.0,24.0
72,9,78,39.0,40.0,87.0
630,7,138,37.0,86.0,171.0
796,149,25,16.0,93.0,87.0
61,39,53,39.0,25.0,28.0
359,74,143,123.0,37.0,53.0
621,86,41,45.0,47.0,250.0
153,12,28,28.0,250.0,78.0
908,30,129,131.0,27.0,111.0
255,61,37,71.0,14.0,66.0
43,37,41,99.0,47.0,153.0
880,84,63,88.0,18.0,153.0
68,8,33,40.0,126.0,20.0
377,35,71,30.0,71.0,14.0
281,68,17,22.0,45.0,34.0
661,230,250,6.0,141.0,216.0
179,41,70,59.0,69.0,75.0
314,57,29,56.0,250.0,34.0
824,40,79,10.0,94.0,87.0
438,19,34,93.0,43.0,99.0
407,17,137,250.0,61.0,153.0
784,44,29,24.0,54.0,69.0
806,27,250,42.0,170.0,237.0
87,81,16,27.0,40.0,37.0
920,20,26,59.0,193.0,14.0
856,115,62,17.0,14.0,6.0
364,55,71,95.0,39.0,250.0
741,39,250,46.0,32.0,120.0
979,19,171,186.0,88.0,250.0
185,38,221,32.0,30.0,190.0
784,44,29,24.0,54.0,69.0
171,22,67,40.0,45.0,35.0
291,20,50,67.0,71.0,250.0
894,106,29,41.0,83.0,216.0
876,23,74,65.0,45.0,250.0
2,90,62,21.0,61.0,67.0
190,17,17,65.0,14.0,250.0
73,66,45,68.0,24.0,228.0
176,50,29,43.0,35.0,250.0
677,34,88,46.0,44.0,190.0
281,68,17,22.0,45.0,34.0
325,12,94,76.0,77.0,212.0
646,114,26,28.0,17.0,114.0
442,98,120,13.0,47.0,190.0
585,33,78,56.0,26.0,111.0
15,36,75,21.0,66.0,50.0
423,56,40,91.0,62.0,18.0
218,20,32,86.0,250.0,69.0
667,36,57,112.0,216.0,39.0
711,53,17,35.0,14.0,24.0
401,81,34,29.0,37.0,14.0
735,68,250,18.0,217.0,52.0
63,23,52,119.0,61.0,168.0
962,26,2,16.0,48.0,250.0
511,86,250,46.0,23.0,24.0
753,56,250,24.0,27.0,250.0
422,14,10,46.0,70.0,250.0
772,212,170,47.0,78.0,215.0
677,34,88,46.0,44.0,190.0
851,14,17,37.0,62.0,16.0
10,250,153,34.0,25.0,53.0
856,115,62,17.0,14.0,6.0
491,34,94,27.0,24.0,250.0
272,122,80,66.0,45.0,168.0
202,50,63,85.0,154.0,44.0
480,88,128,27.0,38.0,142.0
667,36,57,112.0,216.0,39.0
925,73,136,11.0,52.0,69.0
868,74,70,37.0,32.0,141.0
68,8,33,40.0,126.0,20.0
391,55,51,106.0,126.0,142.0
431,73,140,63.0,58.0,10.0
117,93,110,69.0,24.0,35.0
129,145,66,66.0,118.0,250.0
404,36,58,26.0,64.0,39.0
340,27,22,33.0,16.0,53.0
102,37,51,79.0,41.0,141.0
173,22,19,84.0,20.0,22.0
15,36,75,21.0,66.0,50.0
162,61,73,68.0,154.0,250.0
21,43,148,61.0,250.0,250.0
297,8,250,21.0,42.0,24.0
768,91,33,28.0,65.0,69.0
732,71,18,40.0,29.0,79.0
829,95,30,43.0,26.0,166.0
157,47,42,16.0,86.0,2.0
128,43,15,24.0,77.0,30.0
591,40,78,55.0,157.0,35.0
594,28,41,13.0,120.0,34.0
853,43,20,62.0,57.0,77.0
